Student_ID,Year,Attendance_Y1_S1,Attendance_Y1_S2,Maths_Y1_Score,Maths_Y1_Credit,Physics_Y1_Score,Physics_Y1_Credit,Chemistry_Y1_Score,Chemistry_Y1_Credit,English_Y1_Score,English_Y1_Credit,Computer_Y1_Score,Computer_Y1_Credit,Percentage,Avg_Attendance,Result,Risk,Attendance_Y2_S1,Attendance_Y2_S2,Data Structures_Y2_Score,Data Structures_Y2_Credit,Maths_Y2_Score,Maths_Y2_Credit,Python Programming_Y2_Score,Python Programming_Y2_Credit,Operating Systems_Y2_Score,Operating Systems_Y2_Credit,Computer Networks_Y2_Score,Computer Networks_Y2_Credit,Attendance_Y3_S1,Attendance_Y3_S2,Machine Learning_Y3_Score,Machine Learning_Y3_Credit,DBMS_Y3_Score,DBMS_Y3_Credit,Web Technologies_Y3_Score,Web Technologies_Y3_Credit,Probability_Y3_Score,Probability_Y3_Credit,AI Basics_Y3_Score,AI Basics_Y3_Credit,Attendance_Y4_S1,Attendance_Y4_S2,Deep Learning_Y4_Score,Deep Learning_Y4_Credit,AI Ethics_Y4_Score,AI Ethics_Y4_Credit,Cloud Computing_Y4_Score,Cloud Computing_Y4_Credit,NLP_Y4_Score,NLP_Y4_Credit,Capstone Project_Y4_Score,Capstone Project_Y4_Credit
Y1_S011,1,47,45,34,3,43,4,56,2,44,3,71,2,47.14,46.0,Detained,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S012,1,95,76,81,2,33,3,52,4,44,4,58,2,50.73,85.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S013,1,76,51,88,4,57,3,71,2,91,2,35,3,68.0,63.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S014,1,55,99,91,2,30,2,56,3,32,4,99,4,62.27,77.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S015,1,53,81,80,3,73,4,88,3,61,2,81,2,77.14,67.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S016,1,93,96,41,3,68,3,32,2,85,2,88,2,61.42,94.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S017,1,46,46,83,4,30,4,31,2,73,3,61,3,57.25,46.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S018,1,76,99,97,4,85,4,46,4,67,2,99,3,79.0,87.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S019,1,55,92,45,2,88,3,32,4,65,4,96,4,66.24,73.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S020,1,63,64,81,2,62,4,30,4,86,2,79,4,63.62,63.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S021,1,75,74,71,4,36,3,89,2,31,2,77,3,61.64,74.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S022,1,56,49,66,4,38,2,48,4,49,3,62,4,54.53,52.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S023,1,93,52,65,3,54,2,47,3,95,3,64,2,65.92,72.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S024,1,85,80,62,2,43,2,77,4,96,2,62,4,68.43,82.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S025,1,95,66,51,3,59,3,80,3,37,4,56,3,55.38,80.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S026,1,65,74,57,4,93,2,98,2,77,4,33,4,65.62,69.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S027,1,93,61,73,3,75,2,35,4,66,2,75,2,60.85,77.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S028,1,75,79,89,2,92,2,61,4,62,4,47,2,67.71,77.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S029,1,86,75,83,3,96,3,53,3,61,4,52,3,68.5,80.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S030,1,71,86,31,3,46,2,38,4,77,4,71,4,54.65,78.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S031,1,70,79,79,2,53,2,89,3,36,2,65,2,66.64,74.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S032,1,64,45,37,3,45,3,44,3,95,4,92,3,64.62,54.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S033,1,95,69,87,4,91,2,51,3,87,3,78,3,78.53,82.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S034,1,50,59,83,4,89,2,37,2,89,2,97,3,81.0,54.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S035,1,89,76,76,4,84,2,59,4,46,4,48,3,60.94,82.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S036,1,99,70,91,4,38,2,30,3,30,4,63,3,52.44,84.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S037,1,98,92,30,2,93,4,98,3,96,3,45,4,74.62,95.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S038,1,81,66,86,2,98,4,91,2,45,3,77,2,79.62,73.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S039,1,83,80,62,3,52,3,39,3,98,3,81,4,67.31,81.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S040,1,54,63,87,2,98,2,33,4,31,2,61,4,57.71,58.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S041,1,64,68,41,3,64,2,62,2,80,4,41,4,57.27,66.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S042,1,45,77,69,3,72,2,42,4,75,3,64,4,62.5,61.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S043,1,61,70,37,2,55,3,63,4,36,3,58,2,51.07,65.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S044,1,65,80,39,2,53,4,78,4,65,3,53,4,59.35,72.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S045,1,76,81,41,2,84,2,52,2,59,2,91,2,65.4,78.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S046,1,66,57,88,4,78,2,48,2,57,3,81,4,73.27,61.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S047,1,91,60,98,4,41,2,81,4,82,4,45,2,76.0,75.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S048,1,83,89,82,3,87,4,43,4,34,4,47,4,57.37,86.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S049,1,56,53,87,2,36,3,42,3,38,3,56,3,49.29,54.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S050,1,46,49,58,2,67,4,37,2,94,3,46,4,61.6,47.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S051,1,51,69,74,3,60,4,90,3,68,4,48,4,66.44,60.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S052,1,47,89,42,3,87,2,68,2,32,2,91,2,62.0,68.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S053,1,93,69,85,2,67,2,35,3,73,2,61,2,61.55,81.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S054,1,91,65,65,4,48,2,47,4,78,3,44,4,56.12,78.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S055,1,45,97,83,3,32,4,86,4,41,3,45,3,57.59,71.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S056,1,56,68,57,2,37,3,65,3,37,3,89,3,57.0,62.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S057,1,72,72,70,4,92,2,62,2,58,2,75,4,71.71,72.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S058,1,50,62,98,4,54,3,39,3,34,4,62,3,58.41,56.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S059,1,45,62,78,4,55,4,88,4,78,2,62,3,72.12,53.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S060,1,85,79,30,2,84,3,98,4,34,3,32,2,62.14,82.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S061,1,67,81,82,2,46,2,30,4,74,2,33,3,47.92,74.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S062,1,45,93,61,3,68,3,63,3,32,4,79,2,57.47,69.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S063,1,98,88,34,3,86,2,76,4,43,3,80,4,64.19,93.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S064,1,82,78,67,3,59,4,80,4,81,2,67,2,70.2,80.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S065,1,68,59,59,4,80,2,34,2,33,3,85,2,56.38,63.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S066,1,54,61,98,3,35,2,95,2,72,4,52,4,70.0,57.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S067,1,60,75,45,2,96,4,56,2,61,3,90,3,74.21,67.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S068,1,95,63,50,2,71,2,51,2,99,2,34,2,61.0,79.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S069,1,56,70,75,3,78,3,74,4,55,2,76,2,72.64,63.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S070,1,66,91,85,3,92,2,55,2,37,2,81,4,72.85,78.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S071,1,91,66,43,3,57,4,31,2,55,3,88,4,58.5,78.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S072,1,51,47,52,3,47,3,67,4,44,2,57,3,54.93,49.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S073,1,83,61,73,2,46,2,54,3,96,2,47,4,60.0,72.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S074,1,80,91,63,4,37,2,71,2,35,3,93,3,60.86,85.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S075,1,89,50,62,2,51,2,99,3,33,3,91,3,68.85,69.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S076,1,74,75,53,4,38,4,32,4,60,2,65,4,48.44,74.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S077,1,50,46,33,4,35,3,80,3,86,3,37,3,52.88,48.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S078,1,95,89,73,2,99,3,97,4,49,2,41,4,72.87,92.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S079,1,45,70,43,3,66,3,40,4,32,2,35,3,43.73,57.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S080,1,54,49,52,3,73,3,42,3,94,4,46,2,64.6,51.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S081,1,55,59,53,3,64,3,78,2,91,3,38,3,63.86,57.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S082,1,56,79,64,2,69,3,89,2,40,2,43,3,60.17,67.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S083,1,79,65,66,2,55,3,33,2,71,2,47,4,53.31,72.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S084,1,84,58,61,4,67,2,52,4,44,2,54,2,55.86,71.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S085,1,77,91,95,3,82,4,68,4,99,3,96,4,87.0,84.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S086,1,95,52,71,4,58,2,56,2,67,2,56,4,62.14,73.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S087,1,77,48,95,3,34,4,67,2,60,4,81,4,65.82,62.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S088,1,73,52,34,2,76,2,31,4,65,3,72,4,55.13,62.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S089,1,49,64,40,3,67,3,52,4,75,4,41,3,56.0,56.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S090,1,57,84,91,3,89,4,97,2,66,4,60,3,79.19,70.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S091,1,53,98,80,2,69,2,40,4,30,3,50,3,49.86,75.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S092,1,90,80,83,4,86,2,92,3,84,4,69,4,81.88,85.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S093,1,65,91,82,2,81,2,55,2,64,4,54,3,65.69,78.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S094,1,55,82,31,4,63,4,46,4,88,4,80,3,60.63,68.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S095,1,68,69,81,3,62,2,58,4,51,3,57,3,61.53,68.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S096,1,65,93,78,3,92,2,78,4,30,2,80,4,74.0,79.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S097,1,63,76,59,2,78,2,59,4,47,2,76,3,64.0,69.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S098,1,46,98,67,4,92,2,37,2,84,4,32,3,63.87,72.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S099,1,54,63,63,2,84,3,36,2,37,2,86,4,66.77,58.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S100,1,47,68,88,4,83,2,96,4,37,3,64,3,75.31,57.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S101,1,76,90,45,2,83,2,43,4,84,3,36,3,56.29,83.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S102,1,51,77,52,2,48,2,48,2,89,3,31,2,56.82,64.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S103,1,91,49,49,4,31,4,41,2,66,3,38,3,44.62,70.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S104,1,97,88,53,2,59,4,43,2,69,3,54,4,56.73,92.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S105,1,53,98,51,4,33,3,87,2,66,4,99,3,64.88,75.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S106,1,65,86,70,3,63,2,66,2,56,2,60,3,63.33,75.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S107,1,71,84,41,2,82,4,39,2,46,3,91,3,64.21,77.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S108,1,90,46,83,4,94,4,82,4,55,2,50,4,74.78,68.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S109,1,84,55,65,2,88,4,83,3,84,4,53,3,76.62,69.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S110,1,66,49,85,2,65,4,49,4,91,4,55,3,67.94,57.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S111,1,97,53,69,2,30,2,90,4,71,2,68,4,69.43,75.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S112,1,47,94,73,4,41,4,73,4,78,2,46,3,61.29,70.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S113,1,99,93,76,3,37,4,50,2,99,2,41,4,55.87,96.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S114,1,70,85,55,4,61,3,45,4,46,4,55,2,51.59,77.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S115,1,66,51,43,4,36,2,77,3,88,4,68,4,64.65,58.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S116,1,62,86,46,3,60,4,89,2,32,2,72,3,59.71,74.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S117,1,99,67,68,4,33,2,54,2,62,2,71,3,60.23,83.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S118,1,46,99,71,3,59,4,42,2,47,4,68,3,57.81,72.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S119,1,96,73,91,2,91,2,86,4,39,3,54,4,69.4,84.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S120,1,83,64,34,2,78,4,74,3,59,3,97,3,71.33,73.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S121,1,81,69,77,2,82,3,44,2,97,4,66,2,77.54,75.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S122,1,81,87,99,4,85,4,75,4,91,2,54,4,79.67,84.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S123,1,96,48,88,2,92,3,86,3,70,2,32,3,72.77,72.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S124,1,49,49,83,4,78,2,49,3,90,4,64,3,74.19,49.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S125,1,62,61,32,4,42,2,97,3,40,2,85,4,61.53,61.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S126,1,72,73,38,4,54,3,71,2,69,2,34,4,48.67,72.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S127,1,78,68,67,4,34,3,47,3,66,2,57,2,54.07,73.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S128,1,57,61,69,2,91,2,87,4,85,3,69,4,79.93,59.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S129,1,57,89,62,3,48,2,88,4,77,2,42,4,63.73,73.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S130,1,89,69,82,3,92,4,67,4,34,4,74,3,68.89,79.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S131,1,95,75,52,3,39,4,82,3,68,4,31,3,54.29,85.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S132,1,57,73,41,4,95,2,75,4,46,4,89,2,63.5,65.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S133,1,79,92,99,4,59,4,92,4,66,2,51,3,75.59,85.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S134,1,48,71,93,2,41,3,46,3,94,3,79,3,69.0,59.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S135,1,91,73,65,4,81,2,36,2,40,2,35,4,51.0,82.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S136,1,59,76,80,4,87,4,55,3,75,3,58,2,73.38,67.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S137,1,79,57,68,4,58,2,61,3,76,3,51,4,62.69,68.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S138,1,71,47,85,2,50,4,88,3,48,2,98,4,74.8,59.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S139,1,45,82,44,3,90,4,93,2,54,3,44,4,63.5,63.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S140,1,52,90,46,2,82,4,56,3,79,4,32,2,64.53,71.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S141,1,88,97,53,3,32,3,44,2,46,3,38,3,42.5,92.5,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S142,1,92,66,31,4,93,2,50,3,93,3,67,4,62.94,79.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S143,1,89,69,62,3,70,4,80,2,46,2,75,4,67.87,79.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S144,1,60,98,49,2,69,3,31,2,62,2,59,2,55.36,79.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S145,1,57,96,55,3,95,3,75,3,44,3,73,2,68.07,76.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S146,1,84,55,90,4,35,2,35,2,61,2,37,3,56.38,69.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S147,1,72,64,91,4,36,4,33,3,87,3,55,4,60.44,68.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S148,1,47,85,89,3,43,4,41,4,41,2,54,2,52.87,66.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S149,1,95,63,84,3,74,2,82,4,61,4,73,3,74.44,79.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S150,1,50,62,51,2,85,2,88,4,57,3,64,2,71.0,56.0,Fail,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S151,1,73,98,92,4,36,2,60,3,90,2,33,3,64.21,85.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S152,1,64,68,79,2,80,2,65,3,95,4,63,3,77.29,66.0,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y1_S153,1,83,86,87,3,41,4,47,2,44,2,55,3,55.14,84.5,Pass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
